drink_id,display_name,base_recipe_name,short_description,theme_keys,image_file,ingredients_text,recipe_notes,variation_group,availability_dependencies,is_launch_ready,is_featured,sort_order,theme_sort_overrides,is_shot
el-chupacabra,El Chupacabra,El Chupacabra,Reposado tequila heat with citrus and tajin edge,"known-offenders,tequila-sunday",el-chupacabra.png,Reposado tequila | Cointreau | agave nectar | lime juice | jalapenos | grapefruit juice | tajin rim,,el-chupacabra,jalapeno,yes,yes,1,known-offenders:1;tequila-sunday:5,no
pisco-sour,Pisco Sour,Pisco Sour,Silky citrus classic with bitters finish,known-offenders,pisco-sour.png,2 oz pisco | 1 oz simple syrup | 0.75 oz key lime juice | 1 egg white | 3 dashes bitters,,pisco-sour-family,egg_white,yes,yes,2,,no
sugar-cookie-martini,Sugar Cookie Martini,Sugar Cookie Martini,Dessert-leaning martini with vanilla and amaretto,known-offenders,sugar-cookie-martini.png,1.5 oz vanilla or cake vodka | 1.5 oz Baileys | 0.75 oz amaretto | 1 tsp sugar | coated rim,,,,yes,yes,3,,no
sidecar,Sidecar,Sidecar,Cognac citrus staple with sugared rim,known-offenders,sidecar.png,1.5 oz cognac | 0.75 oz Cointreau | 0.75 oz lemon juice | sugar rim | orange twist,,,,yes,yes,4,,no
horsefeather,Horsefeather,Horsefeather,Bourbon and ginger beer with bitters snap,known-offenders,horsefeather.png,1.5 oz bourbon | 4 oz ginger beer | 5 heavy dashes Angostura bitters | lemon wedge or lemon juice,,,,yes,yes,5,,no
cadillac-margarita,Cadillac Margarita,Cadillac Margarita,Top-shelf margarita lane,tequila-sunday,cadillac-margarita.png,1.5 oz reposado tequila | 1 oz Cointreau | 1 oz lime juice | 1 oz Grand Marnier | salt rim | lime wedge,,,,yes,yes,6,,no
pineapple-jalapeno-margarita,Pineapple Jalapeno Margarita,Pineapple Jalapeno Margarita,Sweet heat pineapple agave balance,tequila-sunday,pineapple-jalapeno-margarita.png,1 oz tequila | 0.5 oz Agavero | 0.5 oz triple sec | 0.75 oz lime juice | 0.5 oz honey | 3 oz pineapple juice | jalapenos | tajin rim,,pineapple-jalapeno,jalapeno,yes,yes,7,,no
serrano-pineapple-margarita,Serrano Pineapple Margarita,Serrano Pineapple Margarita,Minty serrano pineapple crusher,tequila-sunday,serrano-pineapple-margarita.png,2 oz tequila | 0.5 oz orange liquor | lime juice | 2 tsp honey | 4 mint leaves | serrano chile | pineapple chunks | ginger beer,,serrano-pineapple,"serrano,mint",yes,yes,8,,no
paloma,Paloma,La Paloma,Grapefruit-forward agave refresher,"tequila-sunday,adult-swim",paloma.png,2 oz tequila | 0.5 oz lime juice | grapefruit juice,,,,yes,yes,9,,no
tequila-sour,Tequila Sour,Tequila Sour,Foamy agave sour with bitters,tequila-sunday,tequila-sour.png,2 oz reposado | 1 oz lemon juice | 0.5 oz lime juice | 2 tsp agave nectar | 2 dashes Angostura bitters | 1 egg white | cherry and lime garnish,,tequila-sour,egg_white,yes,yes,10,,no
